"","x"
"260",-0.0557018765868309
"261",-0.0355341455658923
"262",-0.031828080107021
"263",-0.0771707301812119
"264",-0.243127638453817
"265",-0.172782778959116
"266",-0.132337458062114
"267",-0.233867080319325
"268",-0.0294642941369243
"269",-0.139352424868007
"270",-0.160945314196904
"271",0.0188584658762326
"272",-0.00434177208967021
"273",-0.0704704923089196
"274",-0.113260176212531
"275",-0.122836844907967
"276",-0.165445687013579
"277",-0.059999750256084
"278",0.020739192569331
"279",-0.105281047422028
"280",-0.10772246597653
"281",-0.0671430874563029
"282",-0.11595358882172
"283",-0.127407758477223
"284",-0.148383868967281
"285",-0.0392908793239921
"286",-0.109689984733789
"287",-0.0967388042213185
"288",-0.0487889728627971
"289",-0.0481423459872996
"290",-0.152035251356118
"291",-0.0776208858693853
"292",-0.113345334499851
"293",-0.102741260675148
"294",-0.145748178526577
"295",-0.180524295841894
"296",-0.113249352397381
"297",-0.117633549725926
"298",-0.0997060728877089
"299",-0.0951466818576848
"300",0.0617861882455501
"301",-0.0718740553030774
"302",-0.0367815484771017
"303",0.00449143240088509
"304",-0.200562801600931
"305",-0.109272106234669
"306",-0.145556339594958
"307",-0.0810542117358617
"308",-0.133801847756623
"309",-0.0866835412924446
"310",-0.175952703501971
"311",-0.0644537071294714
"312",-0.0759882420309011
"313",-0.0105034501917069
"314",-0.226372198286195
"315",-0.101405221180789
"316",-0.0824620910885297
"317",-0.0603715396118875
"318",-0.144359614581495
"319",-0.0024150211631118
"320",-0.185817168336634
"321",-0.15719505056359
"322",-0.124021557032193
"323",-0.0572079978020797
"324",-0.0850114365973102
"325",-0.0669731029581039
"326",-0.186155870281555
"327",-0.0737950842624844
"328",-0.118336429335839
"329",-0.0915588984365645
"330",-0.0775425782025464
"331",-0.0693219504798323
"332",-0.0195720359921241
"333",-0.0202946647274169
"334",-0.157989620530453
"335",-0.10227644006635
"336",-0.0649076988357778
"337",-0.113212393384843
"338",-0.110658066903404
"339",-0.0598431277305682
"340",-0.0890691118638843
"341",-0.0850975198244698
"342",-0.10571937288151
"343",-0.102555360587871
"344",-0.209414234603992
"345",-0.0564616631679032
"346",-0.110949184659157
"347",-0.0665543955269743
"348",-0.0701220065856427
"349",-0.149735298319309
"350",-0.0284330906155665
"351",0.00051493213950047
"352",-0.102175647944976
"353",-0.049476169301113
"354",-0.0936630981834952
"355",-0.171061558159157
"356",-0.0581747644289509
"357",-5.4293821889033e-07
"358",-0.125923727771545
"359",-0.133757018916252
"360",-0.0320058853534544
"361",-0.117786868464486
"362",-0.0675064643961494
"363",-0.0445306514277693
"364",-0.112738111363917
"365",-0.134915558377366
"366",-0.0403710466674759
"367",-0.179268172406518
"368",-0.114519296567825
"369",0.0534947762048856
"370",-0.029795359899429
"371",-0.0568298099730467
"372",-0.102997496881215
"373",-0.102341714586219
"374",-0.0709552307153704
"375",-0.113290404513929
"376",-0.0598274411058539
"377",-0.0746155484944073
"378",-0.118055627169773
"379",-0.0589517598521306
"380",-0.124499569998682
"381",-0.0518739613333719
"382",-0.050327113863252
"383",-0.112835608511843
"384",-0.0834667649920355
"385",-0.0894323161456057
"386",-0.0182238728777921
"387",-0.157884673148481
"388",-0.082476950610484
"389",-0.0691442100381517
"390",-0.129109507946625
"391",-0.201066970464326
"392",-0.187618495957335
"393",-0.0139983719723765
"394",-0.0644152576599717
"395",-0.11915645882029
"396",0.0371174919562761
"397",-0.0779721552684282
"398",-0.0973927276395286
"399",-0.146300219047032
"400",-0.181570122619924
"401",-0.0535752875495716
"402",-0.0210802356422408
"403",-0.168408509600515
"404",-0.0973089570110963
"405",-0.164068883331238
"406",-0.134448964424876
"407",-0.118121020889816
"408",-0.20750510536956
"409",-0.0870117915614398
"410",-0.0901684367891613
"411",-0.127321722687271
"412",-0.0654361609770921
"413",-0.0703602981827139
"414",-0.0117854691040996
"415",-0.111613245349389
"416",-0.129527027167813
"417",-0.0939033753162995
"418",-0.0392594725265673
"419",-0.132009930103628
"420",-0.0870946337634006
"421",-0.0714178428513194
"422",-0.220914019123892
